[2015-05-15 11:16:19][13824][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 11:16:19][13824][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 11:16:19][13824][INFO]return successfully! | SQL[INSERT INTO wx_ticket SET `store_name` = 'diantong', `scene_id` = '1', `scene_str` = '1']
[2015-05-15 11:16:19][13824][INFO]return successfully! | excute time:17(ms) SQL[INSERT INTO wx_ticket SET `store_name` = 'diantong', `scene_id` = '1', `scene_str` = '1']
[2015-05-15 11:16:25][13824][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 11:16:25][13824][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 11:16:25][13824][INFO]return successfully! | SQL[INSERT INTO wx_ticket SET `store_name` = 'diantong', `scene_id` = '1', `scene_str` = '1']
[2015-05-15 11:20:52][13824][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 11:20:52][13824][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 11:20:52][13824][INFO]return successfully! | SQL[INSERT INTO wx_ticket SET `store_name` = 'diantong', `ticket` = '', `scene_id` = '1', `scene_str` = '1']
[2015-05-15 11:20:52][13824][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO wx_ticket SET `store_name` = 'diantong', `ticket` = '', `scene_id` = '1', `scene_str` = '1']
[2015-05-15 11:21:28][13824][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 11:21:28][13824][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 11:21:28][13824][INFO]return successfully! | SQL[INSERT INTO wx_ticket SET `store_name` = 'diantong', `ticket` = '', `scene_id` = '1', `scene_str` = '1']
[2015-05-15 11:21:56][13824][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 11:21:56][13824][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 11:21:56][13824][INFO]return successfully! | SQL[INSERT INTO wx_ticket SET `store_name` = 'diantong', `ticket` = '', `scene_id` = '1', `scene_str` = '1']
[2015-05-15 20:47:13][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 20:47:13][1148][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 20:49:41][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 20:49:41][1148][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 20:49:41][1148][INFO]return successfully! | SQL[INSERT INTO wx_ticket SET `store_name` = 'diantong', `ticket` = '', `scene_id` = '1', `scene_str` = 'duming', `insertdate` = '2015-05-15 12:49:41', `updatedate` = '2015-05-15 12:49:41']
[2015-05-15 20:49:41][1148][INFO]return successfully! | excute time:15(ms) SQL[INSERT INTO wx_ticket SET `store_name` = 'diantong', `ticket` = '', `scene_id` = '1', `scene_str` = 'duming', `insertdate` = '2015-05-15 12:49:41', `updatedate` = '2015-05-15 12:49:41']
[2015-05-15 20:49:55][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 20:49:55][1148][INFO]return successfully! | excute time:1(ms) SQL[SET NAMES latin1]
[2015-05-15 20:50:58][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 20:50:58][1148][INFO]return successfully! | excute time:1(ms) SQL[SET NAMES latin1]
[2015-05-15 20:51:18][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 20:51:18][1148][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 20:51:38][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 20:51:38][1148][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 20:52:12][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 20:52:12][1148][INFO]return successfully! | excute time:2(ms) SQL[SET NAMES latin1]
[2015-05-15 20:54:31][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 20:54:31][1148][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 21:04:19][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 21:04:19][1148][INFO]return successfully! | excute time:1(ms) SQL[SET NAMES latin1]
[2015-05-15 21:04:25][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 21:04:25][1148][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-05-15 21:10:13][1148][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-05-15 21:10:13][1148][INFO]return successfully! | excute time:1(ms) SQL[SET NAMES latin1]
