[2015-06-15 15:36:56][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:36:56][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:36:56][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:36:56][12552][INFO]return successfully! | excute time:1(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:39:49][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:39:49][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:39:49][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:39:49][12552][INFO]return successfully! | excute time:1(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:43:23][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:43:23][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:43:23][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:43:23][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:44:18][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:44:18][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:44:18][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:44:18][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:45:29][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:45:29][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:45:29][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:45:29][12552][INFO]return successfully! | excute time:1(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:45:31][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:45:31][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:45:31][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:45:31][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '3', `coupon_id` = '3', `coupon_name` = '3', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:46:14][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:46:14][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:46:14][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:46:14][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:46:37][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:46:37][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
