[2015-06-17 18:31:49][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:31:49][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:31:49][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:31:57][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:31:57][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:31:57][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:31:57][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:31:58][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:31:58][6484][INFO]return successfully! | excute time:3(ms) SQL[SET NAMES latin1]
[2015-06-17 18:31:58][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:31:58][6484][INFO]return successfully! | excute time:1(ms) SQL[set names utf8]
[2015-06-17 18:34:18][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:34:18][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:34:18][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:34:18][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:34:41][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:34:41][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:34:41][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:34:41][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:34:52][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:34:52][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:34:52][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:34:52][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:15][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:15][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:15][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:15][6484][INFO]return successfully! | excute time:1(ms) SQL[set names utf8]
[2015-06-17 18:35:23][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:23][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:23][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:23][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:23][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:23', `updatedate` = '2015-06-17 18:35:23']
[2015-06-17 18:35:23][6484][INFO]return successfully! | excute time:29(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:23', `updatedate` = '2015-06-17 18:35:23']
[2015-06-17 18:35:24][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:24][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:24][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:24][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:24][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:24', `updatedate` = '2015-06-17 18:35:24']
[2015-06-17 18:35:24][6484][INFO]return successfully! | excute time:27(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:24', `updatedate` = '2015-06-17 18:35:24']
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
